id,Moi,NDF,Starch
442,67.0202159,40.3,31.46
443,58.57606498,41.57,30.06
444,65.11665293,38.62,33.41
445,61.15134719,34.87,40.59
446,65.90477686,45.1,34.1
447,70.26401631,36.75,33.54
448,65.21667825,35.32,36.25
449,64.06943256,33.23,40.6
450,66.22,48.61,25.42
451,62.10168739,35.67,29.77
452,75.11131034,45.68,11.26
453,65.97472924,36.63,39.7
454,58.57606498,41.57,30.06
455,62.75202303,38.85,35.68
456,51.97855649,39.44,36.33
457,56.4956962,30.43,44.88
458,64.74174059,43.22,32.05
459,64.32630126,38.61,31.81
460,65.90477686,45.1,34.1
461,56.03,38.79,32.63
462,67.66,41.3,22.35
463,79.3839982,48.49,12.21
464,54.48915315,36.43,40.72
465,70.48450569,39.96,32.22
466,54.61191547,35.52,39.33
467,64.56752761,39.43,32.35
468,64.23497692,90.74,6.84
469,65.19,40.87,29.22
470,63.38966635,45.58,17.74
471,66.80067039,38.81,33.64
472,79.79501345,55.4,0.25
473,68.87536913,52.96,1.49
474,51.41667606,34.16,43.56
475,65.90477686,45.1,34.1
476,68.01049558,39.3,27.47
477,69.16,46.41,26.65
478,62.21558296,44.54,26.43
479,57.49988479,39.03,36.17
480,64.29965966,39.97,32.79
481,61.23895582,31.53,44.91
482,61.26946535,35.74,38.24
483,67.60165557,41.56,28.3
484,64.17645617,39.53,28.82
485,73.15,51.02,22.39
486,65.09044068,35.46,38.08
487,59.37271751,39.25,35.41
488,72.12943925,43.02,23.71
489,65.11665293,38.62,33.41
490,51.69915414,39.76,36.36
491,64.32367253,36.78,38.1
492,72.06,50.46,22.13
493,67.59969199,35.75,38.59
494,71.0933541,45.78,15.22
495,73.94,51.65,21.01
496,69.55271947,43.53,18.12
497,67.25161738,35.78,35.04
498,58.72718808,38.13,35.7
499,66.22,48.61,25.42
500,46.48929071,27.75,43.58
501,65.41959407,39.32,32.91
502,62.04449704,35.76,35.1
503,67.37451786,34.27,36.06
504,74.52,55.58,19.12
505,64.59335128,38.54,33.92
506,56.44044118,35.14,34.62
507,58.49828351,34.32,40.26
508,60.29970018,31.49,43.53
509,68.51711704,42.36,28.47
510,64.22400735,40.59,33.09
511,65.99570896,39.09,33.89
512,63.71010148,38.59,32.88
513,56.03,38.79,32.63
514,66.88,45.03,29.34
515,74.02222606,53.74,16.56
516,59.41180745,30.21,42.42
517,66.39422067,34.07,38.64
518,63.14527751,33.78,38.22
519,67.66,41.3,22.35
520,69.06479042,38.41,27.08
521,65.99570896,39.09,33.89
522,65.79,44.9,31.74
523,57.69637462,34.51,39.7
524,64.74174059,43.22,32.05
525,64.93685115,38.39,37.63
526,56.27,37.47,38.29
527,66.81972112,48.48,11.61
528,65.36699922,44.04,28.43
529,56.22664035,40.4,35.3
530,59.2533178,34.64,40.58
531,67.50368912,37.45,32.08
532,60.53,37.39,37.92
533,65.24,44.08,28.68
534,61.28,43.29,29.58
535,67.55998195,40.42,30.69
536,65.12050551,36.85,35.01
537,70.80601101,42.96,29.94
538,64.74174059,43.22,32.05
539,61.67689366,36.04,33.52
540,63.17868195,37.12,37.1
541,63.11571082,41.44,33.25
542,63.19348066,39.1,27.17
543,81.17973789,53.05,1.92
544,63.14863636,37.91,34.2
545,56.13760917,37.13,35.32
546,55.44584615,34,41.01
547,73.58051556,41.24,26.97
548,69.55271947,43.53,18.12
549,71.86,50.83,21.87
550,58.21580042,42.93,29.77
551,69.16,46.41,26.65
552,61.90002415,34.03,35.55
553,64.74174059,43.22,32.05
554,58.23135865,32.13,43.2
555,62.75202303,38.85,35.68
556,68.3523917,43.01,20.75
557,66.22271758,40.84,32.81
558,65.79,44.9,31.74
559,58.57606498,41.57,30.06
560,67.8,49.26,26.56
561,66.69682387,47.8,33.72
562,73.94,51.65,21.01
563,61.15134719,34.87,40.59
564,77.24931319,45.34,15.49
565,64.09269303,39.63,31.18
566,70.13257576,42.57,25.96
567,66.62833665,37.29,33.62
568,66.88,45.03,29.34
569,70.15872302,40.39,34.3
570,70.53871245,43.18,37.99
571,67.99567901,47.44,16.3
572,69.30377246,41.27,27.51
573,70.59428571,40.57,30.17
574,74.52,55.58,19.12
575,53.5869441,44.61,27.57
576,55.24551724,37.48,36.8
577,71.40265722,47.59,26.46
578,62.69035965,35.81,37.93
579,65.71227405,38.18,35.42
580,62.69035965,35.81,37.93
581,67.02148576,36.3,33.72
582,64.22805139,41.1,32.11
583,67.75497312,40.68,30.97
584,66.88,45.03,29.34
585,60.61339787,33.24,40.94
586,53.08217523,36.67,37.37
587,62.82,42.01,31.85
588,64.63885099,35.07,39.41
589,65.46744519,42.36,31.03
590,58.82358169,34.78,37.98
591,65.99570896,39.09,33.89
592,61.22782329,35.24,35.79
593,64.99727273,42.57,28.19
594,57.84627928,32.2,44.45
595,62.43,41.34,35.86
596,67.07509267,38.23,35.28
